tanggal,pelabuhan,kapal_berangkat,kapal_tiba,penumpang_naik,penumpang_turun
2018-01-14,PRAMUKA/PANGGANG,6,6,476,232
2018-01-15,PRAMUKA/PANGGANG,4,4,164,166
2018-01-16,PRAMUKA/PANGGANG,2,3,75,151
2018-01-17,PRAMUKA/PANGGANG,5,5,124,95
2018-01-18,PRAMUKA/PANGGANG,4,4,101,107
2018-01-19,PRAMUKA/PANGGANG,3,3,110,171
2018-01-20,PRAMUKA/PANGGANG,4,8,134,570
2018-01-21,PRAMUKA/PANGGANG,6,4,531,122
2018-01-22,PRAMUKA/PANGGANG,4,4,114,93
2018-01-23,PRAMUKA/PANGGANG,4,4,100,117
2018-01-24,PRAMUKA/PANGGANG,4,4,126,104
2018-01-25,PRAMUKA/PANGGANG,5,4,180,81
2018-01-26,PRAMUKA/PANGGANG,6,3,163,86
2018-01-27,PRAMUKA/PANGGANG,4,7,75,459
2018-01-28,PRAMUKA/PANGGANG,9,4,416,147
2018-01-29,PRAMUKA/PANGGANG,4,4,92,172
2018-01-30,PRAMUKA/PANGGANG,5,4,141,55
2018-01-31,PRAMUKA/PANGGANG,4,4,104,122
2018-01-01,KELAPA,3,2,90,189
2018-01-02,KELAPA,2,2,121,81
2018-01-03,KELAPA,5,5,143,181
2018-01-04,KELAPA,5,5,194,176
2018-01-05,KELAPA,3,3,85,107
2018-01-06,KELAPA,4,4,149,141
2018-01-07,KELAPA,5,4,106,101
2018-01-08,KELAPA,2,3,24,135
2018-01-09,KELAPA,3,4,76,175
2018-01-10,KELAPA,4,4,106,77
2018-01-11,KELAPA,4,4,132,128
2018-01-12,KELAPA,3,3,79,200
2018-01-13,KELAPA,3,5,187,157
2018-01-14,KELAPA,6,5,123,119
2018-01-15,KELAPA,4,5,113,127
2018-01-16,KELAPA,4,4,85,79
2018-01-17,KELAPA,4,4,102,95
2018-01-18,KELAPA,5,4,106,83
2018-01-19,KELAPA,4,4,67,76
2018-01-20,KELAPA,4,4,92,77
2018-01-21,KELAPA,4,4,63,136
2018-01-22,KELAPA,3,3,90,67
2018-01-23,KELAPA,3,3,72,108
2018-01-24,KELAPA,3,4,43,75
2018-01-25,KELAPA,5,3,173,32
2018-01-26,KELAPA,3,4,77,100
2018-01-27,KELAPA,6,6,196,188
2018-01-28,KELAPA,4,4,99,137
2018-01-29,KELAPA,3,4,114,87
2018-01-30,KELAPA,5,6,88,166
2018-01-31,KELAPA,4,4,124,76
2018-01-01,HARAPAN,4,12,64,2613
2018-01-02,HARAPAN,9,5,1608,1198
2018-01-03,HARAPAN,1,3,10,127
2018-01-04,HARAPAN,2,2,152,98
2018-01-05,HARAPAN,4,2,153,114
2018-01-06,HARAPAN,1,5,16,541
2018-01-07,HARAPAN,4,2,578,11
2018-01-08,HARAPAN,1,3,16,35
2018-01-09,HARAPAN,2,2,41,17
2018-01-10,HARAPAN,2,2,26,84
2018-01-11,HARAPAN,3,2,74,15
2018-01-12,HARAPAN,2,2,45,20
2018-01-13,HARAPAN,1,7,14,685
2018-01-14,HARAPAN,6,2,660,14
2018-01-15,HARAPAN,2,4,65,253
2018-01-16,HARAPAN,3,3,224,297
2018-01-17,HARAPAN,2,2,164,37
2018-01-18,HARAPAN,2,2,148,64
2018-01-19,HARAPAN,2,2,40,67
2018-01-20,HARAPAN,1,5,7,618
2018-01-21,HARAPAN,5,1,618,6
2018-01-22,HARAPAN,2,4,26,131
2018-01-23,HARAPAN,2,3,85,133
2018-01-24,HARAPAN,2,2,116,55
2018-01-25,HARAPAN,2,2,28,100
2018-01-26,HARAPAN,5,1,59,46
2018-01-27,HARAPAN,1,7,9,842
2018-01-28,HARAPAN,5,1,781,17
2018-01-29,HARAPAN,1,3,6,64
2018-01-30,HARAPAN,1,5,21,101
2018-01-31,HARAPAN,2,2,33,26
